time,frame number,x position,y position,z position
0,0,699.5,532.0,0
0,1,700.5,532.0,0
0,2,699.5,532.0,0
0,3,698.5,532.0,0
0,4,697.5,532.0,0
0,5,698.5,532.0,0
0,6,697.5,532.0,0
0,7,698.5,532.0,0
0,8,697.5,532.0,0
0,9,698.5,532.0,0
0,10,697.5,532.0,0
0,11,698.5,532.0,0
0,12,697.5,532.0,0
0,13,698.5,532.0,0
0,14,697.5,532.0,0
0,15,698.5,532.0,0
0,16,697.5,532.0,0
0,17,698.5,532.0,0
0,18,697.5,532.0,0
0,19,698.5,532.0,0
0,20,697.5,532.0,0
0,21,698.5,532.0,0
0,22,697.5,532.0,0
0,23,698.5,532.0,0
0,24,697.5,532.0,0
0,25,698.5,532.0,0
0,26,697.5,532.0,0
0,27,698.5,532.0,0
0,28,697.5,532.0,0
0,29,698.5,532.0,0
0,30,697.5,532.0,0
0,31,698.5,532.0,0
0,32,697.5,532.0,0
0,33,698.5,532.0,0
0,34,697.5,532.0,0
0,35,698.5,532.0,0
0,36,697.5,532.0,0
0,37,698.5,532.0,0
0,38,697.5,532.0,0
0,39,698.5,532.0,0
0,40,697.5,532.0,0
0,41,698.5,532.0,0
0,42,697.5,532.0,0
0,43,698.5,532.0,0
0,44,697.5,532.0,0
0,45,698.5,532.0,0
0,46,697.5,532.0,0
0,47,698.5,532.0,0
0,48,697.5,532.0,0
0,49,698.5,532.0,0
0,50,697.5,532.0,0
0,51,698.5,532.0,0
0,52,697.5,532.0,0
0,53,698.5,532.0,0
0,54,697.5,532.0,0
0,55,698.5,532.0,0
0,56,697.5,532.0,0
0,57,698.5,532.0,0
0,58,697.5,532.0,0
0,59,698.5,532.0,0
0,60,697.5,532.0,0
0,61,698.5,532.0,0
0,62,697.5,532.0,0
0,63,698.5,532.0,0
0,64,699.5,532.0,0
0,65,700.5,532.0,0
0,66,699.5,532.0,0
0,67,700.5,532.0,0
0,68,699.5,532.0,0
0,69,700.5,532.0,0
0,70,699.5,532.0,0
0,71,700.5,532.0,0
0,72,699.5,532.0,0
0,73,700.5,532.0,0
0,74,699.5,532.0,0
0,75,700.5,532.0,0
0,76,699.5,532.0,0
0,77,700.5,532.0,0
0,78,699.5,532.0,0
0,79,700.5,532.0,0
0,80,699.5,532.0,0
0,81,700.5,532.0,0
